person,2020,2021,2022,2023
251,1835,5150,3248,1914
253,5654,11935,8237,5595
3,0,4365,4365,8386
7,41707,73745,77801,63088
10,27007,31060,54482,44077
15,10550,12412,12412,14020
16,31060,54482,44077,65070
32,82746,24554,16719,75127
33,10550,12412,12412,14020
35,18898,27011,34181,36825
36,0,6256,5629,0
68,31060,54482,44077,65073
71,0,6227,5629,0
88,7609,6576,4870,7038
90,12122,12847,12878,14779
104,41707,73745,77801,63088
105,41707,73745,77801,63088
110,0,6256,5629,0
127,0,6256,5629,0
139,4514,6271,8009,7740
151,18898,27011,34181,36825
164,2570,2796,3734,5203
166,4672,6955,8364,8291
176,0,0,5629,0
222,6633,8744,11760,14179
226,9493,76380,27710,0
235,18898,27011,34181,36825
236,18898,27011,34181,36825
243,215379,232031,212713,273865
246,18898,27011,34181,36825
248,196481,205021,178532,237040
253,4672,6955,8364,8291
3,68700,83648,83648,0
7,49471,71317,78549,0
10,85203,104643,160613,0
11,10683,10174,11903,0
15,8385,13385,13385,0
16,104817,160924,191964,0
23,4464,71705,36802,0
30,19440,55969,30981,0
32,156110,315794,316563,0
33,8385,13385,13385,0
35,129145,139783,138567,0
36,10091,9909,8936,0
68,104643,160613,191594,0
71,2687,6989,16598,0
74,3310,70865,23212,0
81,24351,24200,32962,0
88,50242,59291,58942,0
90,51948,63349,77154,0
101,149581,157698,164514,0
104,49471,71317,78549,0
105,49471,71317,78549,0
110,10091,9909,8936,0
111,0,0,8000,0
112,6252,6442,12723,0
118,20436,17915,25947,0
119,0,0,8000,0
123,4505,4803,5139,0
127,10091,9909,8936,0
139,1706,4058,18212,0
147,17019,16661,23713,0
151,129145,139783,138567,0
163,4464,71705,36802,0
164,14386,13700,14632,0
166,2386,4663,19025,0
176,10091,0,0,0
186,0,0,8936,0
192,3898,3889,13627,0
200,8961,13439,10635,0
211,23774,45945,48048,0
222,31884,32576,33119,0
226,44039,17056,25443,0
235,129145,139783,138567,0
236,129145,139783,138567,0
243,925180,1191042,1353828,0
244,149581,157698,164514,0
245,20436,17915,25947,0
246,129145,139783,138567,0
248,796035,1051259,1215262,0
253,2386,4663,19025,0
3,4777,4809,5232,5251
10,5717,5032,4238,15723
16,4999,3895,15666,23159
17,4999,3895,15666,23159
19,4008,1868,2149,9134
20,991,2028,13517,14025
23,2430,3384,7239,2593
32,7772,10784,14353,9513
35,20577,22377,28778,32739
39,7243,8324,9635,6895
41,7640,6356,17413,25298
68,4999,3895,15666,23159
81,47382,48055,39573,27326
101,24132,22377,30450,37257
123,46475,47023,36501,26249
147,19991,18994,15290,13118
151,20577,22377,28778,32739
166,7794,10496,13749,9867
210,7701,10693,14325,9509
213,7243,8324,9635,6895
222,12499,14224,19382,23298
228,575,320,7199,7500
235,20577,22377,28778,32739
236,20577,22377,28778,32739
243,27683,25400,32826,38580
244,21918,22377,30040,36166
246,22276,24180,28955,32919
247,8742,9378,10404,7702
248,5406,1220,3872,5661
249,20043,19044,15414,13282
253,7794,10496,13749,9867
262,4017,5499,14945,23349
10,5157,3148,3596,2959
17,3492,6210,3236,2696
32,114246,128424,123234,116331
35,4778,5061,3040,1873
39,111119,124536,121019,114953
41,14036,16253,13107,12762
49,4077,5531,5835,6615
81,3258,3953,4511,5668
101,6479,6520,5294,5544
111,5905,7562,7941,8582
119,5905,6528,7941,8582
124,8541,10109,9904,9827
166,113344,126754,123149,116971
210,114246,128424,123234,116331
213,111119,124536,121019,114953
235,4778,5061,3040,1873
243,18352,21345,19114,19900
244,5641,5604,3279,3358
246,13319,15170,12944,11699
247,112189,125893,122616,116704
248,5033,6175,6170,8200
249,4316,5092,6007,7137
253,113344,126754,123149,116971
262,9959,10722,7272,6148
3,12674,12674,12674,12674
7,11745,11081,8940,45065
10,19346,32077,37993,26024
11,5066,5115,5113,5560
15,37920,37920,37920,37920
16,32110,38017,26054,19532
32,54321,31269,38963,70099
33,37920,37920,37920,37920
35,60167,60812,61992,65406
36,31932,0,0,0
68,32077,37993,26024,19497
70,11745,0,0,0
81,10926,11227,11119,12064
88,6885,4879,4786,7009
90,12826,12480,13226,16902
101,64382,65088,66663,70025
104,11745,11081,8940,45065
105,11745,11081,8940,45065
110,31932,0,0,0
127,31932,0,0,0
139,5941,7601,8440,9892
147,8322,7971,7335,8023
151,57906,58606,59842,63311
164,5385,5338,5635,5695
166,6508,8178,9070,10261
222,6655,7444,8799,11207
226,5582,423,1936,0
235,60167,60812,61992,65406
236,57906,58606,59842,63311
243,252356,261945,250230,278519
244,64382,65088,66663,70025
246,60167,60812,61992,65406
248,192189,201133,188237,213114
253,6508,8178,9070,10261
0,13337,13700,11352,0
32,12842,13523,13181,0
35,25213,26130,29273,0
39,6280,6574,6392,0
41,59065,47946,65088,0
43,15948,9608,17778,0
44,15988,9794,18012,0
49,38965,27086,47528,0
63,4414,4866,5054,0
64,4879,5247,5404,0
72,4339,6126,6867,0
81,14228,15092,9874,0
82,6541,6969,6268,0
100,4343,6163,6899,0
101,41169,35747,47055,0
128,15832,9539,17713,0
147,5735,6071,8237,0
151,25083,26000,28102,0
161,5018,5193,5377,0
166,12820,13542,12660,0
186,6077,256,15869,0
188,49889,37847,53251,0
192,20957,15566,28614,0
210,12842,13523,13181,0
213,6280,6574,6392,0
222,18024,18840,19156,0
235,25213,26130,29273,0
236,25083,26000,28102,0
243,65946,54622,77843,0
244,25222,26140,29277,0
245,16000,10049,18061,0
246,25411,26319,29456,0
247,10825,11014,11006,0
248,40535,28303,48388,0
249,6881,6676,12756,0
253,12820,13542,12660,0
262,20099,20859,17559,0
7,0,0,5474,5422
10,5539,2147,11119,1317
11,8352,8499,8509,8751
15,23308,23308,23308,23308
16,2147,11119,1317,1854
17,2147,11119,1317,1854
19,56,9356,56,6
32,11716,10564,6832,11160
33,23308,23308,23308,23308
35,42202,41841,42255,41172
38,18113,16762,16252,16101
39,3703,6560,5359,6145
41,23882,33954,24556,29022
43,56803,1048,3330,5125
44,56878,1095,3374,5179
49,92951,34692,30549,32966
68,2147,11119,1317,1854
72,19042,20123,20277,24195
78,5707,5707,5707,5707
79,5707,5707,5707,5707
81,36883,35728,35570,36180
82,3612,13526,5630,5378
88,5519,5222,2788,3069
89,5519,5222,2788,3069
100,19112,20289,20482,24456
101,100043,107854,103714,104695
103,64687,65646,66340,62872
104,0,0,5474,5422
107,18097,5501,5474,0
112,7047,7048,7048,7155
117,1037,64965,58129,58398
118,1104,64998,58179,58456
121,18097,5501,5474,0
128,55694,54894,60142,61670
141,0,9952,0,0
147,31696,29838,29048,29102
151,36495,36134,36548,35465
156,10905,2602,2957,2957
166,7315,20086,10989,11523
192,6807,3140,3005,3791
210,11716,10564,6832,11160
213,3703,6560,5359,6145
222,19909,19551,19799,18790
226,0,10000,0,0
235,42202,41841,42255,41172
236,36495,36134,36548,35465
243,148500,145395,135282,136889
244,43239,106806,100384,99570
245,57982,66092,61553,63635
246,42202,41841,42255,41168
247,8167,10440,1961,10488
248,106298,103554,93026,95721
249,124618,111441,110725,107868
250,13347,68862,62477,62755
253,7315,20086,10989,11523
3,6714,6714,6714,6714
15,6332,6332,6332,6332
33,6332,6332,6332,6332
128,5479,5101,4224,4107
245,5544,5158,4290,4150
248,8438,6576,5495,5222
3,20488,20488,63475,63475
7,266210,248294,376570,354679
10,138396,76912,175923,195166
11,25469,25892,26818,27254
15,34819,34819,58705,58705
16,77103,176112,195371,116958
20,9694,9009,9016,8552
32,268389,320494,385330,191738
33,34819,34819,58705,58705
35,182082,191445,206337,217554
58,30083,40081,40527,35107
68,76912,175923,195166,116795
70,9433,8579,15200,21567
75,9661,9423,4322,5502
77,6221,5710,5808,5815
81,75154,75941,79990,81219
88,41328,32692,31999,46854
90,80463,81103,90691,102175
101,185392,194795,225399,247147
104,275643,256873,391770,376246
105,275643,256873,391770,376246
111,3310,2850,18562,19092
112,35403,35403,38150,38240
118,3728,3693,19299,29792
119,3310,2850,18562,19092
123,12734,13157,13503,14080
130,30083,40081,40527,35107
131,30083,40081,40527,35107
132,30083,40081,40527,35107
135,30083,40081,40527,35107
136,30083,40081,40527,35107
137,30083,40081,40527,35107
139,39134,48411,58691,55321
142,3310,40,15712,10530
143,3310,40,15712,10530
147,58328,56558,63667,61978
151,182082,191445,206337,217554
162,30089,40107,40530,35110
164,24411,23980,24890,26877
166,62905,74465,76385,72156
171,861,8889,3601,1370
201,37151,49526,50281,43427
211,13622,11280,13485,14441
222,83316,104732,52722,62217
226,240116,341908,227454,186777
230,7405,6943,7306,7796
235,182082,191445,206337,217554
236,182082,191445,206337,217554
238,7067,9446,9754,8321
243,1122027,1328794,1417504,1320496
244,185392,194795,225399,247147
245,3728,3693,19299,29792
246,182082,191445,206337,217554
248,939945,1137349,1211168,1102941
253,62905,74465,76385,72156
32,12345,10270,11907,10065
35,6127,6840,7572,7959
39,3616,6657,6970,5610
41,6784,7681,7956,7182
101,6127,6840,7572,7959
151,6113,6829,7564,7947
166,6558,10644,11246,9614
210,12345,10270,11907,10065
213,3616,6657,6970,5610
222,5727,6441,7173,7559
235,6127,6840,7572,7959
236,6113,6829,7564,7947
243,9299,10263,10376,9578
244,6127,6840,7572,7959
246,6127,6840,7572,7959
247,5452,8729,8876,7618
253,6558,10644,11246,9614
262,4121,4852,5565,5932
3,4692,4692,4692,16136
10,5904,3663,9860,5234
15,12397,12397,12397,12397
16,3663,9860,5234,2482
17,4102,10200,5533,2482
19,1871,8829,4239,1629
32,5076,6761,8573,10190
33,12397,12397,12397,12397
35,25973,25974,26709,35955
39,12327,4385,8211,10357
41,6438,12649,9467,4426
43,1691,4046,11173,555
44,1719,4074,11209,566
49,5000,5995,19332,1174
68,3663,9860,5234,2482
71,7278,8301,37883,6719
79,34024,35105,40550,2104
82,3374,4063,5813,6513
101,46062,54578,93177,41076
107,8514,8854,51570,28617
111,7630,12760,42099,9490
117,18397,24557,55294,4566
118,18398,24557,55321,4566
119,7630,12760,42099,9490
121,8514,8854,51570,28617
124,7578,7640,8116,960
128,16425,18744,61234,2639
142,6473,8426,37899,6734
143,6473,8426,37899,6734
166,15701,8448,14024,16870
179,33434,34581,40026,1580
210,5023,6761,8573,9426
213,12327,4385,8211,10357
222,4976,5038,5762,3417
235,25973,25974,26709,35955
243,58467,65873,111535,43192
244,44370,50532,82003,40521
245,20117,28632,66530,5132
246,33551,33615,34825,36915
247,14383,6898,11326,12997
248,24916,32259,76710,6277
249,52029,53224,102068,38766
250,19916,26264,57378,5104
253,15701,8448,14024,16870
1,34544,44398,47427,0
10,523,4766,6274,15119
16,4766,6274,15119,13587
17,4766,6274,15119,13587
19,2591,600,1000,6877
20,2175,5674,14119,6710
32,46722,52259,65277,68163
35,23350,27629,32359,33964
39,5864,5097,6357,7552
41,39908,51242,63357,63850
43,12575,15136,16471,23380
44,12575,15136,16471,23380
49,14303,17343,18919,25888
58,1744,4853,6585,4229
63,3102,7109,9782,6376
64,3446,7500,10208,6939
68,4766,6274,15119,13587
80,36769,47107,50060,0
82,9353,12361,15105,14154
101,39598,50663,62682,63530
111,13618,25309,26509,16517
117,3674,7897,13852,6186
118,3674,7897,13852,6186
119,13618,25309,26509,16517
128,11482,16760,15204,15979
130,1744,4853,6585,4229
131,1744,4853,6585,4229
132,1744,4853,6585,4229
135,1744,4853,6585,4229
136,1744,4853,6585,4229
137,1744,4853,6585,4229
151,23310,27510,32160,33649
161,3323,7253,9705,6775
162,1652,4657,6191,4097
164,5610,4841,5132,7126
165,3743,7520,9972,7028
166,15216,17458,21461,21706
188,34766,44686,47810,49800
201,2335,6140,8392,5273
210,46290,51796,63960,67184
213,5864,5097,6357,7552
222,22323,26672,31323,32902
235,23350,27629,32359,33964
236,23310,27510,32160,33649
243,42104,53453,65684,66636
244,27023,35527,46212,40150
245,16248,23034,30323,29566
246,23350,27629,32359,33964
247,11474,9938,11489,14678
248,18754,25823,33324,32671
250,4451,8481,14406,6784
253,15216,17458,21461,21706
262,25605,33900,44438,37962
11,7393,7790,8458,8526
32,40766,73321,74447,54125
35,5653,6462,6069,4605
39,39412,64881,67771,51681
41,3634,8090,14292,14257
43,2535,5673,12301,15136
44,2541,5675,12352,15192
49,4989,7871,14235,16931
68,262,908,4576,7271
71,805,2374,7857,2343
81,13067,13425,15941,18118
82,1653,8251,7286,2574
100,1101,4293,6936,3317
101,10836,14924,22648,23774
111,15193,8581,101534,106882
119,15193,8581,101534,106882
123,3660,4422,5295,5737
128,4921,7554,12003,14957
142,1042,2379,8117,2392
143,1042,2379,8117,2392
147,8979,8562,9908,11187
151,5653,6462,6020,4542
164,1430,6426,6281,3013
166,41066,73131,75057,54255
210,40766,73321,74447,54125
213,39412,64881,67771,51681
235,5653,6462,6069,4605
236,5653,6462,6020,4542
243,14340,18202,25617,26802
244,8300,9250,10346,8638
245,5190,8464,16721,19270
246,6234,7098,6454,5211
247,40842,71307,74052,54694
248,8105,11104,19163,21591
249,10706,10112,11324,12545
253,41066,73131,75057,54255
32,6815,7445,9488,10978
35,6807,7106,7490,8907
39,2824,3646,4912,5658
41,4514,5100,6341,6399
81,5756,5946,6063,7419
82,3719,4061,4834,5207
101,9142,9449,10257,11746
147,4304,4343,4334,5528
151,6801,7101,7488,8904
166,6543,7707,9746,10866
210,6815,7445,9488,10850
213,2824,3646,4912,5658
222,4105,4382,4771,5085
235,6807,7106,7490,8907
236,6801,7101,7488,8904
243,10003,10631,11961,13290
244,7103,7295,7659,9116
246,6807,7106,7490,8907
247,6173,6934,8905,10112
249,5489,5532,5620,6890
253,6543,7707,9746,10866
0,13739,15342,17056,20501
3,739,739,739,12606
11,32433,32891,48613,57237
14,3157,3662,4265,5725
23,11325,11420,15871,13105
32,128101,137751,159896,174924
35,13982,16671,19860,37399
36,0,0,0,12329
39,95091,101618,116703,128426
41,22055,25359,28739,31856
43,13254,12438,7997,628
44,13971,13434,9499,2439
49,33956,36919,37667,33631
53,6580,7225,7518,8247
54,6580,7225,7518,8247
58,2003,2697,3989,5167
63,4511,4777,6305,7371
64,11091,12003,13823,15618
72,14968,18114,20076,23299
74,2089,5245,8006,4155
81,57407,63050,80738,93779
82,31506,34222,39533,45086
100,14968,18114,20076,23299
101,34481,35176,35515,38027
110,0,0,0,12329
111,5080,3500,6000,102824
112,10471,11992,14878,15949
117,7245,6066,7658,0
118,9685,8733,10421,3914
119,5080,3500,6000,0
123,14037,17729,16415,19297
127,0,0,0,12329
128,18116,16070,11487,0
130,2003,2697,3989,5167
131,2003,2697,3989,5167
132,2003,2697,3991,5163
135,2003,2697,3989,5167
136,2003,2697,3989,5167
137,2003,2697,3991,5163
147,35607,36110,38627,44289
151,13982,16671,19860,37399
161,10508,12006,13706,15581
162,1556,2699,3895,5137
164,29755,31255,35102,40998
166,126597,135840,156237,173512
180,6632,0,0,0
186,4318,6128,6753,7721
187,13796,15163,0,0
192,18401,21848,24606,28838
201,2610,3213,4950,6359
210,125285,135506,158006,172965
213,95091,101618,116703,128426
214,6580,7225,7518,8247
222,9758,12650,15803,19761
229,6650,7002,8520,9778
230,7519,7865,9551,11230
232,0,0,0,102824
235,13982,16671,19860,37399
236,13982,16671,19860,37399
243,59237,63295,69051,77861
244,21227,22737,27518,37399
245,23657,22167,19920,6353
246,13987,16676,19867,39124
247,124846,132873,151805,169423
248,45250,46619,49184,38737
249,37182,37937,40313,46005
250,11294,9700,11517,5106
251,4566,4867,6379,7428
253,126597,135840,156237,173512
1,6457,2591,4296,6901
3,13627,13627,13627,13627
10,5685,7050,12827,6961
11,14673,14578,16678,19566
16,7050,12827,6961,8428
17,23094,28168,19545,19343
19,6717,12551,6698,7628
23,10661,20895,11345,13141
32,32641,47294,38677,40058
35,49199,52726,54238,58228
38,2347,5782,5424,4014
39,17273,20915,19719,21358
41,31036,31975,24944,27622
49,5684,7625,6526,5561
58,8417,12288,10080,9161
63,11812,17317,13993,12791
64,12770,18404,15359,14395
68,7050,12827,6961,8428
74,7227,14979,2832,7601
80,6516,2691,4407,7007
81,41721,47654,55856,60878
82,16920,22614,20770,21285
101,49199,52726,54238,58228
112,11310,11754,14836,16254
123,3109,4137,4824,5405
124,5972,6526,7081,7769
130,8417,12288,10080,9161
131,8417,12288,10080,9161
132,9235,13615,10940,9963
135,8417,12288,10080,9161
136,8417,12288,10080,9161
137,9235,13615,10940,9963
147,27635,31584,37657,40261
151,45040,48366,49776,53917
161,12276,18217,15168,14377
162,8027,12140,9929,9147
164,6601,6487,7848,9579
165,10319,16126,12922,11706
166,34193,43529,40489,42643
187,10282,11403,14094,15638
189,16043,15341,12585,10916
192,3985,5736,4706,3452
201,11698,17195,13864,12636
210,32641,47294,38677,40058
213,17273,20915,19719,21358
222,33666,41091,46167,50087
226,9939,2857,3585,1170
235,49199,52726,54238,58228
236,45040,48366,49776,53917
243,63723,68610,69181,73408
244,49199,52726,54238,58228
246,55171,59251,61319,65998
247,23874,27402,27567,30937
248,8552,9358,7862,7411
249,32687,36635,44237,45786
251,11141,16682,13409,12070
253,34193,43529,40489,42643
260,93,4064,7601,7601
262,25352,24351,18418,22061
3,9755,9755,9755,9755
32,34521,20639,20771,0
39,33761,19669,19998,0
166,34525,20168,20443,0
210,34393,20639,20771,0
213,33761,19669,19998,0
243,5008,4901,4325,0
247,35020,20573,20853,0
253,34525,20168,20443,0
10,8749,5713,7135,9356
11,40133,49370,57816,61868
16,5713,7135,9356,13755
17,5713,7135,9356,13755
19,5465,6871,8888,10750
23,4070,7531,11100,13107
32,13762,17163,24256,28572
35,56075,58367,64300,68517
38,18895,12539,4462,990
39,7727,8130,10148,11819
41,8800,10320,13243,17591
49,9398,10598,11295,11734
58,2313,3248,7014,8444
63,2383,3435,7286,8590
64,2405,3457,7309,8614
68,5713,7135,9356,13755
81,69083,73727,75680,77422
82,4471,5050,9361,11453
101,64763,67039,67255,68517
103,14816,14824,14869,14664
117,7471,7744,2520,0
118,7485,7752,2521,0
123,7331,9094,10678,11620
130,2313,3248,7014,8444
131,2313,3248,7014,8444
132,2311,3247,7013,8444
135,2313,3248,7014,8444
136,2313,3248,7014,8444
137,2311,3247,7013,8444
147,49600,51449,50068,48442
151,55968,58279,64211,68392
161,2405,3456,7309,8611
162,2313,3247,7014,8441
165,2485,3521,7514,9321
166,12198,13180,19509,23272
174,6430,7994,1828,1945
201,1951,3019,6957,8589
210,13762,17163,24256,28572
213,7727,8130,10148,11819
222,56139,58372,64266,68481
235,56075,58367,64300,68517
236,55968,58279,64211,68392
243,76229,79943,81559,83887
244,63547,66111,66820,68517
245,8707,8686,2962,0
246,56073,58363,64296,68513
247,9712,9659,11996,13951
248,20156,21579,17263,15374
249,67429,69623,68317,66296
250,10758,10982,5968,3640
251,2383,3434,7285,8590
253,12198,13180,19509,23272
32,2341,5260,6098,7039
35,2470,1841,5421,5830
39,1216,3463,4537,5852
41,631,1668,4604,5380
81,3026,3058,3465,6136
101,6707,5628,8973,12538
111,0,200,800,8680
117,3590,2877,2084,5763
118,3590,2877,2084,5770
119,0,0,350,8650
147,2469,2327,2602,5091
151,2463,1841,5421,5622
166,2277,5124,6279,7110
210,2341,5260,6098,7039
213,1216,3463,4537,5852
235,2470,1841,5421,5830
236,2463,1841,5421,5622
243,7521,6490,9662,13318
244,6060,4718,7505,11593
245,4237,3787,3553,6719
246,2482,1856,5434,5845
247,1601,3979,5090,6500
248,5039,4635,4228,7473
249,6891,4823,5058,7938
250,3616,2904,2115,5812
253,2277,5124,6279,7110
1,3368,3292,4469,5987
10,778,6333,6382,8423
16,6333,6382,8423,7980
17,6333,6382,8423,7980
20,6333,6382,7423,7230
23,8726,11680,14901,10189
32,24559,24379,30238,31696
35,14330,10987,10727,13907
39,10448,11120,11912,13022
41,11893,12411,16493,17332
49,13384,16827,21548,18704
58,2857,6657,9248,10662
63,4601,9036,12684,14246
64,4786,9241,12873,14441
68,6333,6382,8423,7980
74,6172,9156,11713,7670
80,4840,4024,5154,6523
81,29424,29290,30017,32273
82,9402,13617,19237,20201
101,17330,14987,14727,17407
111,15000,11500,7500,5000
123,15317,15809,16777,18105
130,2857,6657,9248,10662
131,2857,6657,9248,10662
132,2856,6658,9249,10665
135,2857,6657,9248,10662
136,2857,6657,9248,10662
137,2856,6658,9249,10665
147,15038,14431,15066,14788
151,14330,10987,10727,13907
161,5412,8977,12947,14428
162,3308,6457,9303,10652
164,4492,4918,6594,6102
165,4910,8699,12643,14100
166,19850,24737,31149,33223
187,8997,7450,6876,8512
192,2600,4256,6423,5557
201,3965,8778,12465,13977
210,24559,24379,30238,31696
213,10448,11120,11912,13022
222,14101,10757,10497,13678
232,15000,11500,7500,5000
235,14330,10987,10727,13907
236,14330,10987,10727,13907
243,29074,29220,33745,34074
244,14330,10987,10727,13907
246,14334,10992,10733,13915
247,14940,16038,18506,19123
248,14740,18229,23012,20160
249,17182,16809,17252,16742
251,4328,8908,12574,14086
253,19850,24737,31149,33223
1,5391,7317,7348,7254
10,1372,1790,4748,8509
11,10081,10241,10344,10439
15,6615,6615,6615,6615
16,1790,4748,8509,7001
17,1796,4748,8509,7001
19,0,1135,6314,3610
23,3991,8731,7962,4678
32,37055,42873,50488,48098
33,6615,6615,6615,6615
35,27496,34770,44831,49582
39,29123,29144,33000,34490
41,12341,16875,23289,24416
49,11739,11842,11585,11235
58,551,6524,8537,5626
63,2786,9630,11963,8053
64,2875,9722,12056,8139
68,1790,4748,8509,7001
72,2734,2348,3840,6300
74,2332,7624,6394,1937
80,5391,7317,7348,7254
81,89112,91177,94365,98293
82,8238,15357,17738,13574
100,4620,4510,6889,9499
101,44060,48752,55923,58837
111,5929,3774,3716,6102
112,22463,22463,22463,22952
117,12192,9393,6814,4484
118,12192,9393,6814,4484
123,53474,55670,58398,61367
128,14774,9234,2582,2254
130,551,6524,8537,5626
131,551,6524,8537,5626
132,551,6524,8537,5626
135,551,6524,8537,5626
136,551,6524,8537,5626
137,551,6524,8537,5626
147,44916,44204,44670,45672
151,27496,34770,44831,49582
159,5585,4555,3833,3988
161,2875,9720,12051,8136
162,551,6523,8533,5624
164,5396,5857,6147,5631
165,2842,9500,11591,7943
166,37361,44501,50738,48064
192,5464,4536,4643,3808
201,1205,8288,10928,7177
210,37055,42873,50488,48098
213,29123,29144,33000,34490
232,5621,3774,3312,5439
235,27496,34770,44831,49582
236,27496,34770,44831,49582
243,57440,61216,68069,70172
244,39689,44163,51645,54066
245,16564,13982,11091,9255
246,27496,34770,44831,49582
247,34519,35001,39147,40121
248,29944,26446,23238,20590
249,45099,44341,44781,45756
250,18205,14604,11653,9356
253,37361,44501,50738,48064
262,602,5033,11703,13182
0,13935,13794,13119,14299
1,5385,9227,7880,5043
7,21181,6790,6994,1615
10,18735,16946,24716,15642
11,45669,28965,12521,12771
15,28444,28444,29487,29487
16,16929,24700,15635,14407
17,20009,32613,18985,17566
19,6427,1872,2214,5631
20,10502,22446,13422,8776
23,9243,2958,2489,9790
32,110929,110190,112959,121079
33,28444,28444,29487,29487
35,33678,39832,43269,43869
36,0,0,5154,0
39,82500,84558,89845,88739
41,48086,60783,49326,48596
43,14905,8551,8113,7234
44,15300,8630,8138,7265
49,58156,52178,47373,48594
53,6259,5974,4774,4224
54,6259,5974,4774,4224
64,5998,13737,8960,9067
68,16946,24334,15642,14407
70,3027,4930,10290,13151
72,9707,10511,9278,10896
80,5665,9227,8013,5183
81,88875,33149,64097,64732
82,20274,18543,19331,20889
88,7430,6121,3791,3277
89,7430,6121,3791,3277
100,14392,15864,15116,19696
101,70178,73938,65138,64304
104,24789,6790,18638,16061
107,21792,22505,23500,26991
110,0,0,5154,0
111,1610,1503,682,14183
117,21595,25555,13755,13202
118,21877,25690,13880,13304
119,1610,1503,682,14183
121,21792,22505,23500,26991
123,15277,2164,2304,2387
124,5956,6530,2671,3122
126,0,9126,3153,3270
128,19571,9406,6233,6029
147,45257,33149,27322,26992
151,32594,39078,41967,41734
157,6233,4740,4462,4476
161,10852,2925,8293,8114
164,21134,18900,20154,19872
166,102774,103102,109176,109628
171,7888,7940,5829,6419
174,7037,10663,8266,10642
176,2356,6456,6266,3583
180,4685,5353,5838,8799
181,0,18240,0,0
187,25381,33149,47946,48217
189,3080,7913,3350,3159
192,16025,16002,13876,15320
210,103041,102251,107130,114660
213,82500,84558,89845,88739
214,6259,5974,4774,4224
222,7698,9710,11222,13577
224,0,9126,3533,6045
226,6392,10782,1077,2969
228,5322,1184,1259,443
235,33678,39832,43269,43869
236,32594,39078,41967,41734
243,156824,149974,130826,130892
244,55273,65387,57025,57070
245,37177,34320,22018,20569
246,39634,46362,45940,46991
247,103633,103458,109999,108611
248,117190,103612,84886,83902
249,108738,89191,81500,82296
250,59034,51434,37513,35308
253,102774,103102,109176,109628
1,3997,7888,6427,0
10,4033,5553,5592,4706
16,6298,7059,6475,0
17,6626,7714,7040,0
20,2041,5672,4933,0
23,5805,2625,1119,4482
32,28710,26467,28232,32305
35,8138,8545,8270,0
39,23142,25591,28752,0
41,15900,21938,20713,0
49,13422,19246,17628,0
58,1725,2592,5590,0
63,2424,2984,6415,0
64,2581,3123,6559,0
68,6298,5592,4706,4603
80,4075,7965,6560,0
81,12049,12938,10728,0
82,3716,4376,5670,0
100,3923,4862,5048,0
101,9462,9192,9357,0
130,1725,2592,5590,0
131,1725,2592,5590,0
132,1606,2511,5390,0
135,1725,2494,5420,0
136,1725,2494,5420,0
137,1606,2609,5561,0
147,6831,6518,4387,0
151,8124,8539,7692,0
166,26858,29967,34422,0
187,8531,9156,8389,0
201,2233,2846,6343,0
210,28197,26071,28120,32285
213,23142,25591,28752,0
222,4613,5067,5294,0
235,8138,8545,8270,0
236,8124,8539,7692,0
243,24178,30004,27208,0
244,9070,8963,8967,0
246,8820,9568,8244,0
247,24740,27160,31315,0
248,15358,20436,18964,0
249,8278,8065,6495,0
253,26858,29967,34422,0
3,15718,15728,15728,16335
10,1293,12523,7703,14384
15,6889,6889,6889,6889
16,12523,7703,14384,5582
17,12523,7703,14384,5582
19,2477,7433,13949,5243
20,10046,270,435,339
33,6889,6889,6889,6889
35,39656,41662,42739,44244
41,16285,11538,17131,7595
49,2858,1810,3471,7171
68,12523,7703,14384,5582
101,45955,49082,53953,57807
103,44891,53598,53868,54473
107,4891,5087,4523,4585
111,6366,1748,4683,5427
117,5873,6743,10160,13470
118,6312,7237,10657,13969
119,6366,1748,4683,5427
121,4891,5087,4523,4585
124,17970,19911,19099,1245
128,0,0,0,7980
151,39656,41662,42739,44244
186,45,102,1602,6274
192,1833,413,1741,6367
222,16449,18445,19519,20417
227,19460,0,0,1
235,39656,41662,42739,44244
236,39656,41662,42739,44244
243,67260,71073,76359,67120
244,45529,48406,52899,57714
245,6737,7913,11771,14123
246,57625,61574,61838,45490
248,9635,9499,14521,21630
249,50975,59535,59228,59524
250,6777,7690,11050,14459
262,13427,9729,13660,424
1,29354,31011,31676,31297
3,31862,31862,31862,31862
7,11976,11979,13582,13270
10,6309,9402,12884,13079
11,43195,43994,44590,46596
15,15050,15050,15050,15050
16,9402,12884,13079,14872
17,11332,14694,14611,16432
19,251,251,6804,6898
20,9151,12633,6275,7974
23,13793,27687,25866,11511
32,78841,97893,92062,79067
33,15050,15050,15050,15050
35,141580,172548,191122,200657
36,7842,0,0,0
38,4047,7653,9760,9721
39,30507,42429,39999,41698
41,83158,95242,97132,98554
43,18703,21278,18712,10473
44,19041,21515,18921,10712
49,21592,23340,20585,12269
58,17475,24302,20564,10327
63,27301,35264,29002,15020
64,30080,39155,33318,19395
68,9402,12884,13079,14872
72,28582,33587,36848,37904
74,228,19139,14117,431
77,6687,6977,5208,4543
78,11467,11467,11467,11467
79,21914,26365,29926,32079
80,29922,31601,32288,31943
81,97081,107696,114609,121342
82,49056,57699,50653,36135
100,28670,33636,36892,37947
101,181116,199340,212510,215224
103,0,927,8252,8252
